date,id,area
2022-05-16 10:24:50,1652689490,122169.27459825999
2022-05-17 09:41:07,1652773267,121966.41465257
2022-05-17 11:05:14,1652778314,121838.60936998
2022-05-18 11:24:34,1652865874,121914.95144998
2022-05-18 18:04:40,1652889880,121928.39066953
2022-05-19 16:50:41,1652971841,121608.98426339
2022-05-20 13:00:41,1653044441,121687.61347036
2022-05-21 11:54:51,1653126891,122140.77398903
2022-05-21 21:55:02,1653162902,122213.29314410001
2022-05-22 15:46:23,1653227183,122218.93458745
2022-05-22 20:32:57,1653244377,122266.14409314
2022-05-23 02:01:47,1653264107,122350.14599157001
2022-05-23 10:50:57,1653295857,122319.50659697001
2022-05-23 11:47:39,1653299259,122335.06548313
2022-05-23 19:12:22,1653325942,122360.94520153999
2022-05-23 21:43:56,1653335036,122392.72664975
2022-05-24 09:53:14,1653378794,122537.94315933
2022-05-24 11:41:13,1653385273,122537.94315933
2022-05-25 11:02:30,1653469350,122589.51838731
2022-05-25 18:39:52,1653496792,122580.45674935
2022-05-25 20:51:29,1653504689,122593.29088971001
2022-05-25 21:23:35,1653506615,122586.9764597
2022-05-26 01:28:53,1653521333,122653.70295204
2022-05-26 10:12:03,1653552723,122682.11896024001
2022-05-26 18:09:14,1653581354,122718.91273881
2022-05-27 02:33:07,1653611587,122640.75153496
2022-05-27 22:13:19,1653682399,122693.01505771001
2022-05-28 12:59:38,1653735578,122700.16051611
2022-05-28 18:08:38,1653754118,122675.52304192
2022-05-28 21:46:17,1653767177,122664.92340096
2022-05-28 22:57:23,1653771443,122637.77320595
2022-05-29 11:48:23,1653817703,122614.17041656
2022-05-29 19:35:22,1653845722,122572.69729503
2022-05-29 23:44:26,1653860666,122592.79101958
2022-05-30 10:31:47,1653899507,122685.94186011
2022-05-30 15:20:37,1653916837,122710.03042586
2022-05-30 15:20:38,1653916838,122710.03042586
2022-05-30 15:20:39,1653916839,122710.03042586
2022-05-30 22:02:42,1653940962,122712.77874164999
2022-05-31 17:05:03,1654009503,122731.4900746
2022-05-31 18:21:21,1654014081,122731.4900746
2022-06-01 08:57:21,1654066641,122748.96138702
2022-06-01 17:09:01,1654096141,122762.63925898
2022-06-01 19:23:38,1654104218,122792.10227425
2022-06-01 20:19:03,1654107543,122724.40224028
2022-06-02 22:24:01,1654201441,122925.44402367999
